Index,Model,Percentile,Region,Scenario,TimeAggregate,Year
2,7,10,6,rcp45,DJF,2045
2,7,10,6,rcp45,DJF,2046
2,7,10,6,rcp45,DJF,2047
2,7,10,6,rcp45,DJF,2049
2,7,10,6,rcp45,DJF,2053
2,7,10,6,rcp45,DJF,2055
2,7,10,6,rcp45,DJF,2056
2,7,10,6,rcp45,DJF,2071
2,7,10,6,rcp45,DJF,2074
2,7,10,6,rcp45,DJF,2077
2,7,10,6,rcp45,DJF,2078
2,7,10,6,rcp45,DJF,2084
2,7,10,6,rcp45,DJF,2091
2,7,10,6,rcp45,DJF,2093
2,7,10,6,rcp45,DJF,2096
2,7,10,6,rcp45,DJF,2098
2,7,10,6,rcp45,DJF,2099
2,7,10,6,rcp45,DJF,2100
2,7,5,6,rcp45,DJF,1992
2,7,5,6,rcp45,DJF,2003
2,7,5,6,rcp45,DJF,2005
2,7,5,6,rcp45,DJF,2024
2,7,5,6,rcp45,DJF,2026
2,7,5,6,rcp45,DJF,2029
2,7,5,6,rcp45,DJF,2030
2,7,5,6,rcp45,DJF,2046
2,7,5,6,rcp45,DJF,2047
2,7,5,6,rcp45,DJF,2049
2,7,5,6,rcp45,DJF,2053
2,7,5,6,rcp45,DJF,2055
2,7,5,6,rcp45,DJF,2056
2,7,5,6,rcp45,DJF,2071
2,7,5,6,rcp45,DJF,2074
2,7,5,6,rcp45,DJF,2078
2,7,5,6,rcp45,DJF,2084
2,7,5,6,rcp45,DJF,2091
2,7,5,6,rcp45,DJF,2093
2,7,5,6,rcp45,DJF,2096
2,7,5,6,rcp45,DJF,2098
2,7,5,6,rcp45,DJF,2100
2,1,90,5,rcp45,DJF,1979
2,1,90,5,rcp45,DJF,1995
2,1,90,5,rcp45,DJF,2024
2,1,90,5,rcp45,DJF,2046
2,1,90,5,rcp45,DJF,2090
2,1,95,5,rcp45,DJF,1979
2,1,95,5,rcp45,DJF,1995
2,1,95,5,rcp45,DJF,2024
2,1,95,5,rcp45,DJF,2046
2,1,95,5,rcp45,DJF,2090
2,1,10,5,rcp45,DJF,1973
2,1,10,5,rcp45,DJF,1988
2,1,10,5,rcp45,DJF,1992
