Index,Model,Region,Scenario,Sigma,Value,Year
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,2,713.136230469,2053
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,2,1588.96435547,2067
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,2,130.339355469,2071
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,2,1342.58935547,2075
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,2,1042.48779297,2076
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,2,318.159667969,2077
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,2,3044.04248047,2080
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,2,1491.45654297,2083
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,2,1993.65185547,2084
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,2,1022.91748047,2088
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,2,1226.28466797,2094
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,2,5.68310546875,2095
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,2,625.800292969,2096
GD4,CNRM-CM5_CNRM-ALADIN53,Normandie,rcp45,2,2048.18310547,2100
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,3373.67749023,1982
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,4092.42749023,1989
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,2996.35717773,1993
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,860.435302734,1994
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,2986.30249023,1998
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,812.435302734,1999
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,4494.41186523,2003
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,494.185302734,2004
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,2264.41186523,2005
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,3376.21655273,2006
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,4372.27905273,2012
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,2464.02124023,2015
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,3134.61499023,2019
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,412.029052734,2020
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,4917.79467773,2022
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,851.310302734,2025
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,2463.29467773,2031
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,4940.51342773,2032
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,711.021240234,2033
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,370.888427734,2034
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,573.474365234,2035
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,3227.03686523,2036
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,3893.56030273,2037
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,5415.81030273,2038
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,970.013427734,2040
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,7100.46655273,2042
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,3096.02905273,2043
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,1483.10717773,2045
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,5195.62280273,2046
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,3948.73999023,2048
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,502.036865234,2050
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,1530.26342773,2052
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,3725.20874023,2053
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,6498.31811523,2055
GD4,ICHEC-EC-EARTH_HIRHAM5,Normandie,rcp45,1,2884.70874023,2056
