Index,Model,Percentile,Region,Scenario,Season,Value,Year
10,5,90,4,rcp45,DJF,9.63253479004,1998
10,5,90,4,rcp45,DJF,4.96053390503,2017
10,5,90,4,rcp45,DJF,1.2125328064,2070
10,5,90,4,rcp45,DJF,0.313866424561,2082
10,5,90,4,rcp45,DJF,2.08586578369,2086
10,5,90,4,rcp45,DJF,0.112532424927,2092
10,5,10,4,rcp45,DJF,-3.68026695251,1973
10,5,10,4,rcp45,DJF,-0.0509334564209,1975
10,5,10,4,rcp45,DJF,-0.886933898926,1984
10,5,10,4,rcp45,DJF,-0.0309329986572,1991
10,5,10,4,rcp45,DJF,-0.521600341797,1994
10,5,10,4,rcp45,DJF,-1.5469332695,1995
10,5,10,4,rcp45,DJF,-2.10559997559,2001
10,5,10,4,rcp45,DJF,-2.45093355179,2003
10,5,10,4,rcp45,DJF,-2.05493364334,2007
10,5,10,4,rcp45,DJF,-2.75893363953,2020
10,5,10,4,rcp45,DJF,-0.994933700562,2021
10,5,10,4,rcp45,DJF,-0.617600059509,2024
10,5,10,4,rcp45,DJF,-0.664267158508,2026
10,5,10,4,rcp45,DJF,-0.657600021362,2034
10,5,10,4,rcp45,DJF,-2.3109336853,2036
10,5,10,4,rcp45,DJF,-0.541599845886,2044
10,5,10,4,rcp45,DJF,-0.176267242432,2045
10,5,10,4,rcp45,DJF,-1.49493370056,2046
10,5,10,4,rcp45,DJF,-1.79893360138,2047
10,5,10,4,rcp45,DJF,-3.40560016632,2053
10,5,10,4,rcp45,DJF,-1.87226686478,2056
10,5,10,4,rcp45,DJF,-2.20160017014,2084
10,5,10,4,rcp45,DJF,-2.72560033798,2098
10,6,90,4,rcp45,DJF,0.648533630371,1974
10,6,90,4,rcp45,DJF,3.67253379822,2005
10,6,90,4,rcp45,DJF,0.375199127197,2054
10,6,90,4,rcp45,DJF,12.5405319214,2097
10,6,10,4,rcp45,DJF,-2.57493362427,1980
10,6,10,4,rcp45,DJF,-0.364266967773,1983
10,6,10,4,rcp45,DJF,-0.884266471863,1999
10,6,10,4,rcp45,DJF,-1.47093353271,2001
10,6,10,4,rcp45,DJF,-1.69093332291,2007
10,6,10,4,rcp45,DJF,-2.33626661301,2011
10,6,10,4,rcp45,DJF,-2.27226696014,2015
10,6,10,4,rcp45,DJF,-0.708266830444,2025
10,6,10,4,rcp45,DJF,-1.99626693726,2026
10,6,10,4,rcp45,DJF,-0.225599861145,2032
10,6,10,4,rcp45,DJF,-2.64426670074,2034
10,6,10,4,rcp45,DJF,-2.18559989929,2036
10,6,10,4,rcp45,DJF,-1.85360012054,2039
10,6,10,4,rcp45,DJF,-2.09760007858,2040
10,6,10,4,rcp45,DJF,-0.60693321228,2041
10,6,10,4,rcp45,DJF,-2.56826696396,2042
10,6,10,4,rcp45,DJF,-3.48026666641,2045
10,6,10,4,rcp45,DJF,-0.0189338684082,2046
10,6,10,4,rcp45,DJF,-2.99493370056,2050
10,6,10,4,rcp45,DJF,-0.126933670044,2057
10,6,10,4,rcp45,DJF,-1.29093322754,2060
10,6,10,4,rcp45,DJF,-0.440267181396,2063
10,6,10,4,rcp45,DJF,-0.114933586121,2066
10,6,10,4,rcp45,DJF,-0.55359992981,2068
10,6,10,4,rcp45,DJF,-0.218933677673,2071
10,6,10,4,rcp45,DJF,-0.470933532715,2079
10,6,10,4,rcp45,DJF,-0.0429330825806,2080
10,6,10,4,rcp45,DJF,-0.0736003875732,2082
10,6,10,4,rcp45,DJF,-2.96693334579,2091
10,6,10,4,rcp45,DJF,-0.806933021545,2094
10,6,10,4,rcp45,DJF,-2.86160001755,2096
10,6,10,4,rcp45,DJF,-1.80026683807,2100
10,7,90,4,rcp45,DJF,1.35119895935,1974
10,7,90,4,rcp45,DJF,9.84986572266,2020
10,7,90,4,rcp45,DJF,2.43253211975,2054
10,7,90,4,rcp45,DJF,3.42319946289,2097
10,7,10,4,rcp45,DJF,-1.0549331665,1976
10,7,10,4,rcp45,DJF,-2.08960018158,1980
10,7,10,4,rcp45,DJF,-3.72693357468,1983
